 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 23, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Nickel in  H- C (gas).txt

 Ion = Nickel [28] , Mass = 60 amu

 Target Density =  2.4860E-03 g/cm3 = 3.6060E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 275.00 MeV   4.288E+01  3.907E-02   23.88 mm   721.21 um   239.43 um  
 300.00 MeV   4.157E+01  3.623E-02   26.26 mm   796.20 um   244.81 um  
 325.00 MeV   4.035E+01  3.379E-02   28.72 mm   868.81 um   250.39 um  
 350.00 MeV   3.921E+01  3.167E-02   31.24 mm   939.70 um   256.17 um  
 375.00 MeV   3.813E+01  2.982E-02   33.84 mm     1.01 mm   262.15 um  
 400.00 MeV   3.711E+01  2.818E-02   36.52 mm     1.08 mm   268.35 um  
 450.00 MeV   3.521E+01  2.542E-02   42.08 mm     1.33 mm   281.39 um  
 500.00 MeV   3.349E+01  2.317E-02   47.93 mm     1.57 mm   295.31 um  
 550.00 MeV   3.190E+01  2.131E-02   54.08 mm     1.80 mm   310.12 um  
 600.00 MeV   3.045E+01  1.974E-02   60.53 mm     2.02 mm   325.85 um  
 650.00 MeV   2.911E+01  1.839E-02   67.29 mm     2.23 mm   342.50 um  
 700.00 MeV   2.786E+01  1.723E-02   74.35 mm     2.44 mm   360.07 um  
 800.00 MeV   2.565E+01  1.531E-02   89.39 mm     3.24 mm   398.01 um  
 900.00 MeV   2.375E+01  1.379E-02  105.69 mm     3.98 mm   439.68 um  
   1.00 GeV   2.211E+01  1.256E-02  123.24 mm     4.69 mm   485.05 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.4859E-02                 eV / Angstrom 
  2.4859E-01                keV / micron   
  2.4859E-01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8938E+00                 eV / (1E15 atoms/cm2)
  4.2541E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
